Location,Line,Mast type,Loc / Load Type,FY19-20,FY20-21,FY21-22,FY22-23,,,,,,,,,,
240/04,Single M/L,BFB,SC,16-01-2020,,,overdue,,,,,,,,,,
240/05,Single M/L,BFB,SC,07-05-2019,,29-12-2021,,,,,,,,,,,
240/06,Single M/L,RSJ,SC,07-05-2019,,29-12-2021,,,,,,,,,,,
240/07,Single M/L,BFB,SC,07-05-2019,,29-12-2021,,,,,,,,,,,
240/08,Single M/L,RSJ,SC,07-05-2019,,29-12-2021,,,,,,,,,,,
240/09,Single M/L,BFB,SC,07-05-2019,,07-09-2021,,,,,,,,,,,
240/10,Single M/L,BFB,SC,07-05-2019,,07-09-2021,,,,,,,,,,,
240/11,Single M/L,BFB,SC,07-05-2019,,07-09-2021,,,,,,,,,,,
240/12,Single M/L,RSJ,SC,07-05-2019,,07-09-2021,,,,,,,,,,,
240/13,Single M/L,B-150,DC,15-01-2020,23-10-2020,07-09-2021,,,,,,,,,,,
240/14,Single M/L,B-150,DC,15-01-2020,23-10-2020,07-09-2021,,,,,,,,,,,
241/01,Single M/L,RSJ,SC,15-01-2020,,,overdue,,,,,,,,,,
241/02,Single M/L,RSJ,SC,15-01-2020,,,overdue,,,,,,,,,,
241/03,Single M/L,B-200,DC,17-11-2019,23-10-2020,,overdue,,,,,,,,,,
241/04,Single M/L,B-200,TC,17-11-2019,31-08-2020,31-07-2021,overdue,,,,,,,,,,
241/05,Single M/L,TTC,TC,17-11-2019,31-08-2020,31-07-2021,overdue,,,,,,,,,,
241/06,Single M/L,BFB,SC,17-11-2019,31-08-2020,31-07-2021,,,,,,,,,,,
241/09,Single M/L,PORTAL,DC,17-11-2019,31-08-2020,,overdue,,,,,,,,,,
241/11,Single M/L,PORTAL,SC,19-02-2020,,,overdue,,,,,,,,,,
241/13,Single M/L,PORTAL,SC,19-02-2020,,,overdue,,,,,,,,,,
241/15,Single M/L,PORTAL,SC,19-02-2020,,,overdue,,,,,,,,,,
241/17,Single M/L,PORTAL,SC,19-02-2020,,,overdue,,,,,,,,,,
